index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
587,種1,2,核心詞,2584,3158,5742,ㄓㄨㄥˇ,zhǒng
588,重1,2,核心詞,115,151,266,ㄓㄨㄥˋ ,zhòng 
589,重要,2,核心詞,611,812,1423,ㄓㄨㄥˋ ㄧㄠˋ,zhòngyào
590,轉1,2,核心詞,76,92,168,ㄓㄨㄢˇ,zhuǎn
591,準備,2,核心詞,264,304,568,ㄓㄨㄣˇ ㄅㄟˋ,zhǔnbèi 
592,注意,2,核心詞,200,151,351,ㄓㄨˋ ㄧˋ,zhùyì 
593,總是/總,2,核心詞,448,203,651,ㄗㄨㄥˇ ㄕˋ / ㄗㄨㄥˇ,zǒngshì / zǒng 
594,最後,2,核心詞,572,451,1023,ㄗㄨㄟˋ ㄏㄡˋ,zuìhòu
595,最近,2,核心詞,133,222,355,ㄗㄨㄟˋ ㄐㄧㄣˋ,zuìjìn 
596,作業,2,8.教育、學習,78,72,150,ㄗㄨㄛˋ ㄧㄝˋ,zuòyè 
597,阿姨,2.5,1.個人資料,22,52,74,ㄚ ㄧˊ,āyí 
598,白天,2.5,核心詞,45,49,94,ㄅㄞˊ ㄊㄧㄢ,báitiān 
599,百貨公司,2.5,9.購物、商店,14,5,19,ㄅㄞˇ ㄏㄨㄛˋ ㄍㄨㄥ ㄙ,bǎihuògōngsī   
600,搬,2.5,核心詞,17,32,49,ㄅㄢ,bān
601,搬家,2.5,2.日常起居,12,10,22,ㄅㄢ ㄐㄧㄚ,bānjiā 
602,辦公室,2.5,3.職業,98,31,129,ㄅㄢˋ ㄍㄨㄥ ㄕˋ,bàngōngshì
603,棒球,2.5,4.休閒、娛樂,14,6,20,ㄅㄤˋ ㄑㄧㄡˊ ,bàngqiú  
604,報紙,2.5,5.交通、旅遊,72,38,110,ㄅㄠˋ ㄓˇ,bàozhǐ 
605,巴士,2.5,5.交通、旅遊,13,10,23,ㄅㄚ ㄕˋ,bāshì 
606,背包,2.5,核心詞,14,6,20,ㄅㄟ ㄅㄠ,bēibāo 
607,北部,2.5,核心詞,20,74,94,ㄅㄟˇ ㄅㄨˋ,běibù  
608,本子,2.5,8.教育、學習,7,3,10,ㄅㄣˇ ˙ㄗ,běnzi 
609,笨,2.5,核心詞,27,21,48,ㄅㄣˋ,bèn
